Species	Sample	Raw_abund	Rel_abund
species_1064	S25_SRF	1	0.0933707
species_1065	S25_BML	1	0.0981354
species_1066	S25_SRF	1	0.0933707
species_1067	S10_BML	10	0.595948
species_1067	S10_SRF	2	0.1207
species_1067	S25_BML	1	0.0981354
species_1067	S25_SRF	6	0.560224
species_1067	S26_BML	4	0.4561
species_1067	S26_SRF	8	0.69869
species_1067	S8_BML	9	0.807175
species_1067	S8_SRF	4	0.538358
species_1068	S25_BML	1	0.0981354
species_1069	S10_BML	7	0.417163
species_1069	S10_SRF	3	0.18105
species_1069	S25_BML	3	0.294406
species_1069	S25_SRF	11	1.02708
species_1069	S26_BML	4	0.4561
species_1069	S26_SRF	14	1.22271
species_1069	S8_BML	8	0.717489
species_1069	S8_SRF	8	1.07672
species_107	S10_BML	2	0.11919
species_107	S26_BML	1	0.114025
species_107	S8_BML	1	0.0896861
species_107	S8_SRF	2	0.269179
species_1070	S10_BML	3	0.178784
species_1070	S26_SRF	1	0.0873362
species_1070	S8_BML	1	0.0896861
species_1070	S8_SRF	1	0.13459
species_1071	S8_BML	1	0.0896861
species_1072	S10_BML	2	0.11919
species_1072	S25_BML	2	0.196271
species_1072	S25_SRF	3	0.280112
species_1072	S26_BML	1	0.114025
species_1072	S8_BML	4	0.358744
species_1072	S8_SRF	3	0.403769
species_1073	S8_BML	1	0.0896861
species_1074	S10_BML	1	0.0595948
species_1075	S10_BML	1	0.0595948
species_1076	S10_BML	1	0.0595948
species_1077	S26_BML	1	0.114025
species_1078	S25_SRF	1	0.0933707
species_1078	S26_SRF	1	0.0873362
species_1079	S10_SRF	1	0.06035
species_108	S10_SRF	1	0.06035
species_108	S26_SRF	1	0.0873362
species_108	S8_SRF	1	0.13459
species_1080	S10_BML	10	0.595948
species_1080	S10_SRF	3	0.18105
species_1080	S25_BML	4	0.392542
species_1080	S25_SRF	9	0.840336
species_1080	S26_BML	5	0.570125
species_1080	S26_SRF	8	0.69869
species_1080	S8_BML	6	0.538117
species_1080	S8_SRF	3	0.403769
species_1081	S8_BML	1	0.0896861
species_1081	S8_SRF	2	0.269179
species_1082	S25_BML	2	0.196271
species_1083	S10_SRF	1	0.06035
species_1084	S10_BML	1	0.0595948
species_1084	S10_SRF	2	0.1207
species_1084	S25_SRF	1	0.0933707
species_1084	S26_BML	4	0.4561
species_1084	S26_SRF	6	0.524017
species_1084	S8_BML	1	0.0896861
species_1084	S8_SRF	2	0.269179
species_1085	S8_SRF	1	0.13459
species_1086	S10_BML	9	0.536353
species_1086	S10_SRF	60	3.621
species_1086	S25_BML	4	0.392542
species_1086	S25_SRF	18	1.68067
species_1086	S26_BML	21	2.39453
species_1086	S26_SRF	36	3.1441
species_1086	S8_BML	9	0.807175
species_1086	S8_SRF	13	1.74966
species_1087	S26_BML	1	0.114025
species_1087	S26_SRF	1	0.0873362
species_1088	S10_BML	2	0.11919
species_1088	S10_SRF	1	0.06035
species_1088	S25_SRF	1	0.0933707
species_1088	S26_BML	3	0.342075
species_1088	S26_SRF	3	0.262009
species_1088	S8_BML	7	0.627803
species_1088	S8_SRF	1	0.13459
species_1089	S10_BML	1	0.0595948
species_109	S25_BML	1	0.0981354
species_1090	S10_BML	2	0.11919
species_1090	S25_BML	51	5.00491
species_1090	S25_SRF	1	0.0933707
