Sample,Date,Station,Depth_cat,Location,Depth,Latitude,Longitude,Temperature,Salinity,Fluorescence
S10_SRF,17.09.2020,S10,SRF,Above shelf,5,78.455829 °N,10.256424 °E,4.1134,32.9522,0.7953
S10_BML,17.09.2020,S10,BML,Above shelf,23,78.455829 °N,10.256424 °E,5.727,34.1046,0.8686
S8_SRF,16.09.2020,S8,SRF,Above slope,5,78.4136327 °N,9.207339 °E,6.7919,34.8162,3.1885
S8_BML,16.09.2020,S8,BML,Above slope,35,78.4136327 °N,9.207339 °E,6.8006,34.9477,1.1738
S25_SRF,21.09.2020,S25,SRF,Above slope,5,78.998513 °N,8.247126 °E,6.1835,34.609,2.5658
S25_BML,21.09.2020,S25,BML,Above slope,23,78.998513 °N,8.247126 °E,6.4221,34.6656,2.6146
S26_SRF,22.09.2020,S26,SRF,Open ocean,5,78.600982 °N,5.061096 °E,5.039,34.8442,2.1018
S26_BML,22.09.2020,S26,BML,Open ocean,20,78.600982 °N,5.061096 °E,5.0401,34.8442,1.9919
